Application,Tool,Partition Count,Variant,Granularity,NED,Completeness,Actual Partition Count,Min,Max,Mean,Stdev,Median
demo,tomicroservices,4,cohesion,method_level,14.876033057851235,121 (41.0%),4,7,96,30.25,43.84347157787577,9.0
jpetstore,tomicroservices,3,cohesion,method_level,0.0,229 (75.8%),3,8,212,76.33333333333333,117.49184368854434,9.0
partsunlimited,tomicroservices,5,cohesion,method_level,16.770186335403725,161 (39.1%),5,8,126,32.2,52.43758194272501,9.0
spring-petclinic,tomicroservices,3,cohesion,method_level,25.0,68 (60.7%),3,8,51,22.666666666666668,24.54248017893329,9.0
demo,tomicroservices,4,coupling,method_level,20.661157024793386,121 (41.0%),4,8,96,30.25,43.835868114288935,8.5
jpetstore,tomicroservices,3,coupling,method_level,0.0,229 (75.8%),3,8,213,76.33333333333333,118.35680518387329,8.0
partsunlimited,tomicroservices,5,coupling,method_level,22.360248447204967,161 (39.1%),5,9,125,32.2,51.87677707799512,9.0
spring-petclinic,tomicroservices,3,coupling,method_level,25.0,68 (60.7%),3,8,51,22.666666666666668,24.54248017893329,9.0
demo,cargo,4,default,method_level,12.82051282051282,117 (39.7%),4,6,89,29.25,40.03644173333423,11.0
jpetstore,cargo,3,default,method_level,38.961038961038966,77 (25.5%),3,7,47,25.666666666666668,20.132891827388665,23.0
partsunlimited,cargo,5,default,method_level,32.291666666666664,192 (46.6%),5,8,122,38.4,47.06166167912051,20.0
spring-petclinic,cargo,3,default,method_level,0.0,0 (0.0%),0,0,0,0.0,0.0,0.0
demo,datacentric,n,default,method_level,38.888888888888886,252 (85.4%),4,13,141,63.0,59.604250407724,49.0
demo,datacentric,n,default,class_level,40.90909090909091,44 (93.6%),4,2,24,11.0,9.309493362512628,9.0
jpetstore,datacentric,n,default,method_level,53.973509933774835,302 (100.0%),3,73,139,100.66666666666667,34.26854728950927,90.0
jpetstore,datacentric,n,default,class_level,45.833333333333336,24 (100.0%),3,5,13,8.0,4.358898943540674,6.0
partsunlimited,datacentric,n,default,method_level,53.20197044334976,406 (98.5%),4,49,190,101.5,62.185207244167,83.5
partsunlimited,datacentric,n,default,class_level,51.92307692307692,52 (98.1%),4,7,25,13.0,8.48528137423857,10.0
spring-petclinic,datacentric,n,default,method_level,27.67857142857143,112 (100.0%),3,12,81,37.333333333333336,37.978063843926186,19.0
spring-petclinic,datacentric,n,default,class_level,39.13043478260869,23 (100.0%),3,3,14,7.666666666666667,5.686240703077327,6.0
demo,ground_truth,n,default,method_level,65.2605459057072,295 (100.0%),4,76,140,100.75,29.88171124060111,93.5
demo,ground_truth,n,default,class_level,100.0,47 (100.0%),4,13,21,17.5,4.123105625617661,18.0
jpetstore,ground_truth,n,default,method_level,57.41935483870968,302 (100.0%),3,73,132,103.33333333333333,29.535289626704753,105.0
jpetstore,ground_truth,n,default,class_level,57.692307692307686,24 (100.0%),3,5,11,8.666666666666666,3.2145502536643185,10.0
partsunlimited,ground_truth,n,default,method_level,100.0,412 (100.0%),5,42,111,82.2,28.70017421549911,95.0
partsunlimited,ground_truth,n,default,class_level,100.0,53 (100.0%),5,5,17,12.4,4.774934554525329,13.0
spring-petclinic,ground_truth,n,default,method_level,40.42553191489362,112 (100.0%),3,27,75,44.0,26.888659319497503,30.0
spring-petclinic,ground_truth,n,default,class_level,64.51612903225806,23 (100.0%),3,6,11,9.0,2.6457513110645907,10.0
demo,hydec,n,default,method_level,39.148936170212764,235 (79.7%),8,5,66,29.375,24.441986709056902,25.5
demo,hydec,n,default,class_level,70.0,40 (85.1%),8,3,12,5.0,3.1622776601683795,3.5
jpetstore,hydec,n,default,method_level,41.76245210727969,261 (86.4%),8,7,83,32.625,27.302210794837006,24.5
jpetstore,hydec,n,default,class_level,77.27272727272727,22 (91.7%),8,2,5,2.75,1.164964745021435,2.0
partsunlimited,hydec,n,default,method_level,8.684210526315795,380 (92.2%),3,28,319,126.66666666666667,166.58431298694765,33.0
partsunlimited,hydec,n,default,class_level,21.739130434782606,46 (86.8%),3,5,36,15.333333333333334,17.897858344878397,5.0
spring-petclinic,hydec,n,default,method_level,46.98795180722891,83 (74.1%),3,13,44,27.666666666666668,15.56705923844749,26.0
spring-petclinic,hydec,n,default,class_level,56.25,16 (69.6%),3,4,7,5.333333333333333,1.5275252316519468,5.0
jpetstore,log2ms,n,default,method_level,57.6158940397351,302 (100.0%),3,69,128,100.66666666666667,29.737742572921256,105.0
jpetstore,log2ms,n,default,class_level,100.0,24 (100.0%),3,4,10,8.0,3.4641016151377544,10.0
spring-petclinic,log2ms,n,default,method_level,27.722772277227726,101 (90.2%),7,2,35,14.428571428571429,13.636435786244915,10.0
spring-petclinic,log2ms,n,default,class_level,42.10526315789473,19 (82.6%),7,1,6,2.7142857142857144,2.0586634591635513,2.0
demo,mosaic,n,default,method_level,47.682119205298015,151 (51.2%),4,6,73,37.75,28.194266556636414,36.0
jpetstore,mosaic,n,default,method_level,56.94444444444444,288 (95.4%),3,57,124,96.0,34.828149534535996,107.0
partsunlimited,mosaic,n,default,method_level,100.0,297 (72.1%),5,36,78,59.4,19.844394674567425,69.0
spring-petclinic,mosaic,n,default,method_level,25.92592592592593,95 (84.8%),2,28,80,54.0,36.76955262170047,54.0
demo,tomicroservices,4,functionality,method_level,20.661157024793386,121 (41.0%),4,8,96,30.25,43.835868114288935,8.5
jpetstore,tomicroservices,3,functionality,method_level,0.0,229 (75.8%),3,8,213,76.33333333333333,118.35680518387329,8.0
partsunlimited,tomicroservices,5,functionality,method_level,22.360248447204967,161 (39.1%),5,9,125,32.2,51.87677707799512,9.0
spring-petclinic,tomicroservices,3,functionality,method_level,26.470588235294112,68 (60.7%),3,9,50,22.666666666666668,23.671361036774655,9.0
demo,mono2micro,4,natural,method_level,23.684210526315784,190 (64.4%),4,12,133,47.5,57.25090974531904,22.5
demo,mono2micro,4,natural,class_level,36.66666666666667,30 (63.8%),4,3,19,7.5,7.681145747868608,4.0
jpetstore,mono2micro,3,natural,method_level,0.0,277 (91.7%),1,277,277,277.0,0.0,277.0
jpetstore,mono2micro,3,natural,class_level,0.0,17 (70.8%),1,17,17,17.0,0.0,17.0
partsunlimited,mono2micro,5,natural,method_level,53.87205387205387,297 (72.1%),3,65,137,99.0,36.16628264005025,95.0
partsunlimited,mono2micro,5,natural,class_level,100.0,31 (58.5%),3,8,13,10.333333333333334,2.516611478423583,10.0
spring-petclinic,mono2micro,3,natural,method_level,43.29896907216495,97 (86.6%),3,9,55,32.333333333333336,23.007245235649865,33.0
spring-petclinic,mono2micro,3,natural,class_level,100.0,17 (73.9%),3,3,7,5.666666666666667,2.309401076758503,7.0
demo,tomicroservices,4,overhead,method_level,14.876033057851235,121 (41.0%),4,7,96,30.25,43.84347157787577,9.0
jpetstore,tomicroservices,3,overhead,method_level,0.0,229 (75.8%),3,8,213,76.33333333333333,118.35680518387329,8.0
partsunlimited,tomicroservices,5,overhead,method_level,22.360248447204967,161 (39.1%),5,9,125,32.2,51.87677707799512,9.0
spring-petclinic,tomicroservices,3,overhead,method_level,26.470588235294112,68 (60.7%),3,9,50,22.666666666666668,23.671361036774655,9.0
